,id,name,brand,base_name,screen_size,pixels_x,pixels_y,screen_surface,touchscreen,cpu,cpu_details,detachable_keyboard,discrete_gpu,gpu,os,os_details,ram,ssd,storage,weight,min_price,max_price
199,24434,"New ! 2018 Lenovo Yoga 730 2-in-1 15.6"" FHD IPS Touch-Screen Laptop, Intel i7-8550U, 8GB DDR4 RAM, 256GB PCIe SSD, Thunderbolt, Fingerprint Reader, Backlit Keyboard, Built for Windows Ink, Win10",Lenovo,Lenovo Yoga 730,15.6,1920,1080,Glossy,1,Intel Core i7,Intel Core i7-8550U 1.8 GHz (8th gen Kaby Lake R Quad-Core with Hyper-Threading),0.0,0,Intel UHD 620,Windows,Windows 10 Home,8,256,256,4.17,759.99,769.99
128,23614,"2018 Dell Inspiron 11.6"" 2-in-1 Convertible HD Touchscreen Laptop - Intel Quad-Core Pentium N3710 1.6GHz, 4GB RAM, 500GB HDD, MaxxAudio, 802.11bgn, Webcam, Bluetooth, HDMI, Win 10",Dell,Dell Inspiron 3168,11.6,1366,768,Glossy,1,Intel Pentium,Intel Pentium N3710 1.6 GHz (Braswell Quad-Core),0.0,0,Intel HD 405,Windows,Windows 10 Home,4,0,500,3.09,365.0,389.0
355,21468,"Lenovo - 310-15ABR 15.6"" Laptop - AMD A12-Series - 8GB Memory - 1TB Hard Drive",Lenovo,Lenovo IdeaPad 310,15.6,1366,768,Glossy,0,AMD A12,AMD A12-9700P 2.5 GHz (7th gen Bristol Ridge Quad-Core),0.0,0,AMD Radeon R7,Windows,Windows 10 Home,8,0,1000,4.85,412.0,484.0
28,10358,"Dell i3552-3240BLK 15.6"" HD Laptop (Intel Pentium N3700 1.6GHz Processor, 4 GB DDR3L SDRAM, 500 GB HDD, Windows 10) Black",Dell,Dell Inspiron i3552,15.6,1366,768,Glossy,0,Intel Pentium,Intel Pentium N3700 1.6 GHz (Braswell Quad-Core),0.0,0,Intel HD,Windows,Windows 10,4,0,500,4.85,399.99,399.99
155,20092,"2018 Dell Inspiron 15 5000 15.6 inch Full HD Touchscreen Backlit Keyboard Laptop PC, Intel Core i5-8250U Quad-Core, 8GB DDR4, 1TB HDD, Bluetooth 4.2, WiFi, Windows 10 dell i5570-4364slv-pus",Dell,Dell Inspiron 5570,15.6,1920,1080,Glossy,1,Intel Core i5,Intel Core i5-8250U 1.6 GHz (8th gen Kaby Lake R Quad-Core with Hyper-Threading),0.0,0,Intel UHD 620,Windows,Windows 10 Home,8,0,1000,4.85,559.0,665.0
255,26801,"Lenovo 20L9001AUS Thinkpad T580 20L9 15.6"" Notebook - Windows - Intel Core i7 1.9 GHz - 16 GB RAM - 512 GB SSD, Black",Lenovo,Lenovo ThinkPad T580,15.6,1920,1080,Matte,1,Intel Core i7,Intel Core i7-8650U 1.9 GHz (8th gen Kaby Lake R Quad-Core with Hyper-Threading),0.0,0,Intel UHD 620,Windows,Windows 10 Pro,16,512,512,4.29,1217.32,1529.98
414,23620,"Omen by HP 2019 15-Inch Gaming Laptop, Intel i7-9750H Processor, GeForce RTX 2070 8 GB, 32 GB RAM, 512 GB SSD, VR Ready, Windows 10 (15-dc0030nr, Black)",HP,HP OMEN 15-dc0030nr,15.6,1920,1080,Matte,0,Intel Core i7,Intel Core i7-8750H 2.2 GHz (8th gen Coffee Lake Hexa-Core with Hyper-Threading),0.0,1,NVIDIA GeForce GTX 1060,Windows,Windows 10 Home,16,128,1128,5.56,2499.11,2499.11
372,23619,"Lenovo Yoga 730 13 - 13.3"" Touch FHD - i5-8250u - 8GB - 256GB SSD - Platinum",Lenovo,Lenovo Yoga 730,13.3,1920,1080,Glossy,1,Intel Core i5,Intel Core i5-8250U 1.6 GHz (8th gen Quad-Core Kaby Lake R with Hyper-Threading),0.0,0,Intel UHD 620,Windows,Windows 10 Home,8,256,256,2.62,580.0,608.98
472,26136,"Dell Alienware 17 R5 VR Ready 17.3"" FHD Gaming Laptop Computer, 8th Gen Intel Hexa-Core i7-8750H, 16GB DDR4, 256GB SSD + 1TB HDD, GTX 1070 8GB, AC WiFi + BT 5.0, Type-C, Backlight KB, HDMI, Windows 10",Alienware,Alienware 17 R5,17.3,1920,1080,Matte,0,Intel Core i7,Intel Core i7-8750H 2.2 GHz (8th gen Coffee Lake Hexa-Core with Hyper-Threading),0.0,1,NVIDIA GeForce GTX 1070,Windows,Windows 10 Home,16,256,1256,9.74,1645.0,1645.0
224,28338,"Newest Acer Aspire E 15 Full HD Laptop with 15.6"" 1920x1080 LED-Backlit Display, Intel Core i3-8130U Up to 3.4GHz, 6GB RAM, 1TB HDD, Webcam, DVD, USB 3.1 Type-C, 802.11ac, Bluetooth, HDMI, Windows 10",Acer,Acer Aspire E,15.6,1920,1080,,0,Intel Core i3,Intel Core i3-8130U 2.2 GHz (8th gen Kaby Lake R Dual-Core with Hyper-Threading),0.0,0,Intel UHD 620,Windows,Windows 10 Home,6,0,1000,5.27,434.29,449.99
364,29412,"Dell Latitude 14 7000 Series E7470 Ultrabook, 14.0inch HD Anti-Glare LCD, Intel Core i7-6600U, 8 GB DDR4, 256 GB SSD, Windows 10 Pro (Renewed)",Dell,Dell Latitude E7470,14.0,1366,768,Matte,0,Intel Core i7,Intel Core i7-6600U 2.6 GHz (6th gen Skylake Dual-Core with Hyper-Threading),0.0,0,Intel HD 520,Windows,Windows 10 Pro,8,256,256,3.13,379.99,454.0
310,6758,"Dell Latitude E6420 14.1-Inch Laptop (Intel Core i5 2.5GHz with 3.2G Turbo Frequency, 4G RAM, 128G SSD, Windows 10 Professional 64-bit) (Renewed)",Dell,Dell Latitude E6420,14.0,1366,768,matte,0,Intel Core i5,,,0,Intel HD 3000,,,4,128,128,4.56,175.99,189.97
240,17469,"Asus VivoBook Flip Convertible 15.6â€ Touchscreen Laptop, Intel Core i3-6100U 2.3GHz, 4GB DDR4, 128GB SSD, Bluetooth, Windows 10 Home",Asus,Asus VivoBook Flip (TP501UAM-YS32T),15.6,1366,768,Glossy,1,Intel Core i3,Intel Core i3-6100U 2.3 GHz (6th gen Skylake Dual-Core with Hyper-Threading),0.0,0,Intel HD 520,Windows,Windows 10,4,128,128,4.85,799.11,799.11
489,10824,"Asus Q304UA-BBI5T10 2-in-1 - 13.3"" FHD Touch - i5-6200U up to 2.8Ghz - 6GB - 1TB",Asus,Asus Q304UA-BBI5T10,13.3,1920,1080,Glossy,1,Intel Core i5,Intel Core i5-6200U 2.3 GHz (6th gen Skylake Dual-Core with Hyper-Threading),0.0,0,Intel HD 520,Windows,Windows 10,6,0,1000,3.31,502.59,502.59
57,24019,"Lenovo IdeaPad 330-15IGM 15.6"" HD Anti-glare Laptop, Intel Quad-Core Celeron N4100 4GB RAM 500GB HDD DVDRW 802.11ac HDMI Bluetooth Webcam",Lenovo,Lenovo IdeaPad 330,15.6,1366,768,Matte,0,Intel Celeron,Intel Celeron N4100 1.1 GHz (Gemini Lake Quad-Core),0.0,0,Intel UHD 600,Windows,Windows 10 Home,4,0,500,4.85,255.0,255.0
172,11298,Acer CB3-531-C4A5 15.6 Chromebook - Celeron N2830 2.16 GHz - 2 GB RAM - 16 GB SSD - Textured Granite Gray,Acer,Acer CB3-531-C4A5,15.6,1366,768,Matte,0,Intel Celeron,Intel Celeron N2830 2.16 GHz (Bay Trail Dual-Core),0.0,0,Intel HD,Chrome OS,Chrome OS,2,16,16,4.9,215.0,215.0
210,27882,"New Apple MacBook Pro (13-inch, 8GB RAM, 256GB Storage) - Space Gray",Apple,Apple MacBook Pro 2019,13.3,2560,1600,Glossy,0,Intel Core i5,Intel Core i5-8279U 2.4 GHz (8th gen Coffee Lake Quad-Core with Hyper-Threading),0.0,0,Intel Iris Plus 655,macOS,macOS Mojave,8,256,256,3.02,1499.0,1692.5
486,15328,"HP 15.6in HD High Performance Flagship Touchscreen Laptop Computer, Intel Quad-Core Pentium N3540 Up to 2.66GHz, 4GB RAM, 500GB HDD, DVDRW, USB 3.0, Webcam, WiFi, Windows 10(Renewed)",HP,HP 15,15.6,1366,768,Glossy,1,Intel Pentium,Intel Pentium N3540 2.16 GHz (Bay Trail Quad-Core),0.0,0,Intel HD,Windows,Windows 10,4,0,500,5.05,344.0,344.0
159,30757,"MSI GF75 17.3"" Gaming Laptop Intel Core i7-9750H 8GB RAM 256GB SSD 120Hz GTX 1050 Ti Aluminum Black",MSI,MSI GF75 Thin 9RCX,17.3,1920,1080,Matte,0,Intel Core i7,Intel Core i7-9750H 2.6 GHz (9th gen Coffee Lake Hexa-Core with Hyper-Threading),0.0,1,NVIDIA GeForce GTX 1050 Ti,Windows,Windows 10 Home,8,256,256,4.85,829.98,829.98
9,24438,"Dell I3567-3380BLK-PUS Inspiron 15 3000 Laptop, 15.6"" Screen, Intel Core i3, 8GB RAM, 1TB HD, Windows 10 Home",Dell,Dell Inspiron 3567,15.6,1366,768,Glossy,0,Intel Core i3,Intel Core i3-7100U 2.4 GHz (7th gen Kaby Lake Dual-Core with Hyper-Threading),0.0,0,Intel HD 620,Windows,Windows 10 Home,8,0,1000,5.07,379.0,389.0
338,26964,"Microsoft Surface Pro (Intel Core i7, 16GB RAM, 512GB) - Newest Version (Renewed)",Microsoft,Microsoft Surface Pro (5th Generation),12.3,2736,1824,Glossy,1,Intel Core i7,Intel Core i7-7660U 2.5 GHz (7th gen Kaby Lake Dual-Core with Hyper-Threading),1.0,0,Intel Iris Plus 640,Windows,Windows 10 Pro,16,512,512,1.73,975.82,999.66
234,29845,"Microsoft Surface Laptop 3 â€“ 13.5"" Touch-Screen â€“ Intel Core i7 - 16GB Memory â€“ 1TB Solid State Drive (Latest Model) â€“ Matte Black",Microsoft,Microsoft Surface Laptop 3,13.5,2256,1504,Glossy,1,Intel Core i7,Intel Core i7-1065G7 1.3 GHz (10th gen Ice Lake Quad-Core with Hyper-Threading),0.0,0,Intel Iris Plus,Windows,Windows 10 Home,16,1000,1000,2.84,2059.0,2099.0
476,20742,"HP Pavilion Business Flagship Laptop PC (2018 Edition) 15.6"" HD WLED-backlit Display 8th Gen Intel i5-8250U Quad-Core Processor, 8GB DDR4 RAM, 1TB HDD, Bluetooth, Webcam, B&O Audio, Windows 10",HP,HP Pavilion 15-cc152od,15.6,1366,768,Glossy,0,Intel Core i5,Intel Core i5-8250U 1.6 GHz (8th gen Quad-Core Kaby Lake R with Hyper-Threading),0.0,0,Intel UHD 620,Windows,Windows 10 Home,8,0,1000,4.67,638.0,638.0
124,28216,"ASUS Chromebook C423NA-DH02 14.0"" HD NanoEdge Display, 180 Degree, Intel Dual Core Celeron Processor, 4GB RAM, 32GB eMMC Storage, Silver Color",Asus,Asus Chromebook C423NA,14.0,1366,768,Matte,0,Intel Celeron,Intel Celeron N3350 1.1 GHz (Apollo Lake Dual-Core),0.0,0,Intel HD 500,Chrome OS,Chrome OS,4,32,32,2.7,199.0,215.0
473,4977,ASUS TP500 15-Inch Touch Laptop [OLD VERSION],Asus,ASUS Flip TP500LA,15.6,1366,768,Glossy,1,Intel Core i7,Intel Core i7-4510U 2.0 GHz (4th gen Haswell Dual-Core with Hyper-Threading),0.0,0,Intel HD 4400,Windows,Windows 8.1,8,0,1024,5.0,649.99,649.99
480,23196,"2018 Dell 2-in-1 13.3"" FHD TouchScreen High Performance Business Laptop, AMD Ryzen 7 2700U 2.2GHz, AMD Radeon RX Vega 10, 12GB DDR4, 256GB SSD, Webcam, Backlit Keyboard, HDMI, Windows 10, Era Gray",Dell,Dell Inspiron 7375,13.3,1920,1080,Glossy,1,AMD Ryzen 7,AMD Ryzen 7 2700U 2.2 GHz (Quad-Core with Simultaneous Multi-Threading),0.0,0,AMD Radeon Vega 10,Windows,Windows 10 Home,12,256,256,3.86,512.99,517.99
383,28223,"Asus ZenBook 13 Ultra-Slim Laptop, 13.3â€ Full HD Wideview, 8th Gen Intel Core I5-8265U, 8GB LPDDR3, 512GB PCIe SSD, Backlit KB, Fingerprint, Slate Gray, Windows 10, UX331FA-AS51",Asus,Asus ZenBook UX331FA,13.3,1920,1080,Matte,0,Intel Core i5,Intel Core i5-8265U 1.6 GHz (8th gen Whiskey Lake Quad-Core with Hyper-Threading),0.0,0,Intel UHD 620,Windows,Windows 10 Home,8,512,512,2.5,699.97,699.99
49,12294,"Built Lenovo Yoga 710 High Performance 14"" Full HD 1920x1080 2-in-1 Touchscreen Laptop PC Intel I5-7200U Processor 8GB DDR4 RAM 256GB SSD 802.11AC Wifi HDMI Bluetooth Webcam-Silver",Lenovo,Lenovo Yoga 710,14.0,1920,1080,Glossy,1,Intel Core i5,Intel Core i5-7200U 2.5 GHz (7th gen Kaby Lake Dual-Core with Hyper-Threading),0.0,0,Intel HD 620,Windows,Windows 10,8,256,256,3.42,824.99,824.99
205,19838,HP Notebook Laptop 15.6 HD Vibrant Display Quad Core AMD E2-7110 APU 1.8GHz 4GB RAM 500GB HDD DVD Windows 10,HP,HP 15-ba015wm,15.6,1366,768,Glossy,0,AMD E2,AMD E2-7110 1.8 GHz (Carrizo-L Quad-Core),0.0,0,AMD Radeon R2,Windows,Windows 10 Home,4,0,500,4.4,329.99,329.99
360,10687,Lenovo 110-15IBR 80T7000HUS - 15.6 HD - Intel Celeron N3060 - 4GB - 500GB HDD - Black,Lenovo,Lenovo IdeaPad,15.6,1366,768,,0,Intel Celeron,Intel Celeron N3060 1.6 GHz (Braswell Dual-Core),0.0,0,Intel HD 400,Windows,Windows 10,4,0,500,4.85,259.99,264.99
506,19301,"ASUS ROG Strix GL702VS 17.3"" Full HD Ultra Thin and Light Gaming Laptop,75HZ G-SYNC Display, GeForce GTX 1070 8GB, Intel i7-7700HQ 2.8 GHz, 12GB DDR4 RAM, 128GB SSD + 1TB 7200 rpm HDD",Asus,Asus ROG GL702VS,17.3,1920,1080,Matte,0,Intel Core i7,Intel Core i7-7700HQ 2.8 GHz (7th gen Kaby Lake Quad-Core with Hyper-Threading),0.0,1,NVIDIA GeForce GTX 1070,Windows,Windows 10 Home,12,128,1128,6.39,1899.99,1899.99
33,23204,"HP 15-inch Laptop, AMD Ryzen 3 2200U Processor, 8 GB RAM, 1 TB Hard Drive, Windows 10 Home (15-db0030nr, Gray)",HP,HP 15-db0030nr,15.6,1366,768,Glossy,1,AMD Ryzen 3,AMD Ryzen 3 2200U 2.5 GHz (Dual-Core with Simultaneous Multi-Threading),0.0,0,AMD Radeon Vega 3,Windows,Windows 10 Home,8,0,1000,4.6,475.0,551.57
380,14447,"HP Notebook 15.6 Inch Touchscreen Premium Laptop PC (2017 Version), 7th Gen Intel Core i3-7100U 2.4GHz Processor, 8GB DDR4 RAM, 1TB HDD, Bluetooth, Windows 10",HP,HP 15-ay191ms,15.6,1366,768,Glossy,1,Intel Core i3,Intel Core i3-7100U 2.4 GHz (7th gen Kaby Lake Dual-Core with Hyper-Threading),0.0,0,Intel HD 620,Windows,Windows 10,8,0,1000,4.68,529.01,599.99
461,28805,"Asus TUF FX505DT Gaming Laptop, 15.6â€ 120Hz Full HD, AMD Ryzen 5 R5-3550H Processor, GeForce GTX 1650 Graphics, 8GB DDR4, 256GB PCIe SSD, Gigabit Wi-Fi 5, Windows 10 Home, FX505DT-AH51, RGB Keyboard",Asus,Asus TUF Gaming FX505DT,15.6,1920,1080,Matte,0,AMD Ryzen 5,AMD Ryzen 5 3550H 2.1 GHz (Quad-Core with Simultaneous Multi-Threading),0.0,1,NVIDIA GeForce GTX 1650,Windows,Windows 10 Home,8,256,256,4.85,649.99,649.99
164,19851,"HP 14-ax040wm Laptop, Intel Celeron N3060, 1.6 GHz, 32 GB, Windows 10 Home 64 Bit, Black, 14""",HP,HP Stream 14-ax040,14.0,1366,768,Glossy,0,Intel Celeron,Intel Celeron N3060 1.6 GHz (Braswell Dual-Core),0.0,0,Intel HD 400,Windows,Windows 10 Home,4,32,32,3.18,243.9,243.95
407,16695,"Apple MacBook Air 13.3-Inch Laptop MD760LL/B, 4GB Ram - 128GB SSD - 1.4 GHz Intel i5 Dual Core (Renewed)",Apple,Apple MacBook Air 2014,13.3,1440,900,Glossy,0,Intel Core i5,Intel Core i5-4260U 1.4 GHz (4th gen Haswell Dual-Core with Hyper-Threading),0.0,0,Intel HD 5000,macOS,OS X Mavericks,4,128,128,2.94,390.0,465.61
346,4066,"Samsung Chromebook XE303C12-A01 11.6-inch, Exynos 5250, 2GB RAM, 16GB SSD, Silver (Renewed)",Samsung,"Samsung Chromebook (Wi-Fi, 11.6-Inch)",11.6,1366,768,Matte,0,Samsung Exynos,Samsung Exynos 5250 1.7 GHz (Dual-Core),0.0,0,Intel HD,Chrome OS,Chrome OS,2,16,16,2.43,69.99,76.0
105,27734,"Microsoft Surface Book 13.5"" (Intel Core i5, 8GB RAM, 256 GB)",Microsoft,Microsoft Surface Book 2,13.5,3000,2000,Glossy,1,Intel Core i5,Intel Core i5-8350U 1.7 GHz (8th gen Kaby Lake R Quad-Core with Hyper-Threading),1.0,0,Intel UHD 620,Windows,Windows 10 Pro,8,256,256,3.38,1090.0,1130.0
146,14058,"HP 15.6"" (1366x768) HD Notebook: Intel 7th Gen i7-7500U | 16GB DDR4 | 1TB HDD | DVD | Wireless AC | Bluetooth | Windows 10 | Silver",HP,HP,15.6,1366,768,Glossy,0,Intel Core i7,Intel Core i7-7500U 2.7 GHz (7th gen Kaby Lake Dual-Core with Hyper-Threading),0.0,0,Intel HD 620,Windows,Windows 10,16,0,1000,4.83,799.0,799.0
169,25268,"Samsung 11.6"" Chromebook with Intel N3060 up to 2.48GHz, 4GB Memory, 16GB eMMC Flash Memory, Bluetooth 4.0, USB 3.0, HDMI, Webcam, Chrome Operating System",Samsung,Samsung Chromebook 3,11.6,1366,768,Matte,0,Intel Celeron,Intel Celeron N3060 1.6 GHz (Braswell Dual-Core),0.0,0,Intel HD 400,Chrome OS,Chrome OS,4,32,32,2.54,150.19,165.9
357,31193,"2019 Dell Inspiron 14"" Laptop Computer| 10th Gen Intel Quad-Core i5 1035G4 Up to 3.7GHz| 4GB DDR4 RAM| 128GB PCIe SSD| Intel Iris Plus Graphics| 802.11ac WiFi| Bluetooth 4.1| USB 3.1| HDMI| Windows 10",Dell,Dell Inspiron 3493,14.0,1366,768,Matte,0,Intel Core i5,Intel Core i5-1035G4 1.1 GHz (10th gen Ice Lake Quad-Core with Hyper-Threading),0.0,0,Intel Iris Plus,Windows,Windows 10 Home,4,128,128,3.77,318.0,328.94
138,26103,"2018 Lenovo Ideapad 330 15.6"" FHD WLED Laptop Computer, 8th Gen Intel Quad Core i5-8250U up to 3.40GHz, 8GB DDR4 RAM, 256GB SSD, 802.11ac WiFi, Bluetooth 4.1, DVDRW, USB Type-C, HDMI, Windows 10",Lenovo,Lenovo IdeaPad 330,15.6,1920,1080,Matte,0,Intel Core i5,Intel Core i5-8250U 1.6 GHz (8th gen Quad-Core Kaby Lake R with Hyper-Threading),0.0,0,Intel UHD 620,Windows,Windows 10 Home,8,256,256,4.85,595.0,649.0
140,26963,Microsoft Surface Pro Intel Core i5 8GB RAM 256GB SSD Windows 10 (Renewed),Microsoft,Microsoft Surface Pro (5th Generation),12.3,2736,1824,Glossy,1,Intel Core i5,Intel Core i5-7300U 2.6 GHz (7th gen Kaby Lake Dual-Core),0.0,0,Intel HD 620,Windows,Windows 10,8,256,256,1.7,599.0,599.0
497,30070,"LG Gram 17Z990-R.AAS9U1 Thin and Light Laptop, 17"" (2560 X 1600) IPS Display, Intel 8th Gen Core i7, 16GB RAM, 1TB (512GB x 2) Nvme SSD, Up to 19.5 Hour Battery, Thunderbolt 3, Dark Silver",LG,LG gram,17.0,2560,1600,Glossy,0,Intel Core i7,Intel Core i7-8565U 1.8 GHz (8th gen Whiskey Lake Quad-Core with Hyper-Threading),0.0,0,Intel UHD 620,Windows,Windows 10 Home,16,1000,1000,2.95,1496.99,1599.0
27,8285,"Dell Inspiron i7559-2512BLK 15.6 Inch FHD Laptop (6th Generation Intel Core i7, 8 GB RAM, 1 TB HDD + 8 GB SSD) NVIDIA Gaming GeForce GTX 960M",Dell,Dell Inspiron i7559-2512,15.6,1920,1080,Matte,0,Intel Core i7,Intel Core i7-6700HQ 2.6 GHz (6th gen Skylake Quad-Core with Hyper-Threading),0.0,1,NVIDIA GeForce GTX 960M,Windows,Windows 10,8,8,1008,5.67,809.99,809.99
466,20741,"ASUS ROG Zephyrus Thin & Light Gaming Laptop, 15.6â€ Full HD 120Hz, Intel Core i7-7700HQ Processor, NVIDIA GeForce GTX 1070 8GB, 16GB DDR4, 256GB PCIe M.2 SSD, Windows 10 Professional â€“ GX501VS-XS71",Asus,Asus ROG Zephyrus GX501,15.6,1920,1080,Matte,0,Intel Core i7,Intel Core i7-7700HQ 2.8 GHz (7th gen Kaby Lake Quad-Core with Hyper-Threading),0.0,1,NVIDIA GeForce GTX 1070,Windows,Windows 10 Pro,16,256,256,5.0,1112.57,1950.14
209,26588,"Apple MacBook Pro (15-inch, Previous Model, 16GB RAM, 256GB Storage) - Space Gray",Apple,Apple MacBook Pro 2018,15.4,2880,1800,Glossy,0,Intel Core i7,Intel Core i7-8750H 2.2 GHz (8th gen Coffee Lake Hexa-Core with Hyper-Threading),0.0,1,AMD Radeon Pro 555X,macOS,macOS Mojave,16,256,256,4.02,1749.0,2048.0
374,11676,"Lenovo ThinkPad P50 20En 15.6"" Notebook, 16 GB RAM, 256 GB SSD, NVIDIA Quadro M2000M, Black (20EN001SUS)",Lenovo,Lenovo Thinkpad P50 20EN001SUS,15.6,1920,1080,Matte,0,Intel Xeon,Intel Xeon E3-1505M v5 2.8 GHz (6th gen Skylake Quad-Core with Hyper-Threading),0.0,1,NVIDIA Quadro M1000M,Windows,Windows 7,16,256,256,5.6,2099.5,2099.5
107,27576,"Asus ZenBook 15 Ultra Slim Compact Laptop 15.6â€ FHD 4-Way NanoEdge, Intel Core i7-8565U Processor, 16GB DDR4, 512GB PCIe SSD, GeForce GTX 1050, Ir Camera, Windows 10, UX533FD-DH74, Royal Blue",Asus,Asus ZenBook UX533FD,15.6,1920,1080,Glossy,0,Intel Core i7,Intel Core i7-8565U 1.8 GHz (8th gen Whiskey Lake Quad-Core with Hyper-Threading),0.0,1,NVIDIA GeForce GTX 1050 Max-Q,Windows,Windows 10 Home,16,512,512,3.72,1382.99,1498.97
371,15335,"Asus 14 inch FHD (1920 x 1080) Portable Laptop, Intel Dual-Core Processor up to 2.48GHz, 4GB RAM, 32GB eMMC, HDMI, VGA, Webcam, Bluetooth, WiFi, Windows 10",Asus,Asus 14 Eeebook,14.0,1920,1080,Glossy,0,Intel Celeron,Intel Celeron N3060 1.6 GHz (Braswell Dual-Core),0.0,0,Intel HD 400,Windows,Windows 10,4,32,32,3.2,299.0,299.0
192,10690,"2016 Toshiba Satellite Radius 11.6"" 2-in-1 Touchscreen Convertible Laptop (Intel Quad-Core Pentium N3700, 4GB RAM, 500GB HDD, Bluetooth, Webcam, WiFi, HDMI, Windows 10) - Satin Gold",Toshiba,Toshiba Satellite Radius 11,11.6,1366,768,Glossy,1,Intel Pentium,Intel Pentium N3700 1.6 GHz (Braswell Quad-Core),0.0,0,Intel HD,Windows,Windows 10,4,0,500,2.9,527.0,527.0
42,20962,"2018 Lenovo Yoga 720 Flagship Slim Laptop, Silver, 2.9 lbs, 8th Generation Intel i7-8550U Processor, 16GB Memory, 512GB Solid State Disk, 13.3"" Full-HD Multitouch Screen, Back-lit keyboard",Lenovo,Lenovo Yoga 720,13.3,1920,1080,Glossy,1,Intel Core i7,Intel Core i7-8550U 1.8 GHz (8th gen Kaby Lake R Quad-Core with Hyper-Threading),0.0,0,Intel UHD 620,Windows,Windows 10 Home,16,512,512,2.9,995.49,999.0
247,10954,"2016 Dell Inspiron 13 7000 13.3"" 2-in-1 Convertible Full HD Touchscreen Laptop, Intel Core i7-6500U Processor, 8GB RAM, 256GB SSD, Backlit Keyboard, Webcam, Bluetooth, Windows 10",Dell,Dell Inspiron i7359,13.3,1920,1080,Glossy,1,Intel Core i7,Intel Core i7-6500U 2.5 GHz (6th gen Skylake Dual-Core with Hyper-Threading),0.0,0,Intel HD 520,Windows,Windows 10,8,256,256,3.66,884.99,884.99
130,26368,"ASUS ROG Strix Scar Edition 17.3â€ 120Hz 3ms Gaming Laptop, 8th-Gen Intel Core i7-8750H Processor (up to 3.9GHz), GTX 1050 Ti 4GB, 16GB DDR4, 128GB PCIe SSD + 1TB Hybrid HDD, Windows 10 - GL703GE-ES73",Asus,Asus ROG Strix GL703GE Scar Edition,17.3,1920,1080,Matte,0,Intel Core i7,Intel Core i7-8750H 2.2 GHz (8th gen Coffee Lake Hexa-Core with Hyper-Threading),0.0,1,NVIDIA GeForce GTX 1050 Ti,Windows,Windows 10 Home,16,128,1128,6.72,1249.0,1249.0
401,28219,"ASUS VivoBook 15 Thin and Light Laptop, 15.6â€ Full HD, AMD Quad Core R5-3500U CPU, 8GB DDR4 RAM, 256GB PCIe SSD, AMD Radeon Vega 8 Graphics, Windows 10 Home, F512DA-EB51, Slate Gray",Asus,Asus VivoBook F512DA,15.6,1920,1080,Matte,0,AMD Ryzen 5,AMD Ryzen 5 3500U 2.1 GHz (Quad-Core with Simultaneous Multi-Threading),0.0,0,AMD Radeon Vega 8,Windows,Windows 10 Home,8,256,256,3.5,472.61,479.99
366,28977,"Asus ROG Strix Scar III (2019) Gaming Laptop, 15.6â€ 240Hz IPS Type FHD, NVIDIA GeForce RTX 2060, Intel Core i7-9750H, 16GB DDR4, 1TB PCIe Nvme SSD, Per-Key RGB KB, Windows 10, G531GV-DB76",Asus,Asus ROG Strix Scar III,15.6,1920,1080,Matte,0,Intel Core i7,Intel Core i7-9750H 2.6 GHz (9th gen Coffee Lake Hexa-Core with Hyper-Threading),0.0,1,NVIDIA GeForce RTX 2060,Windows,Windows 10 Home,16,1000,1000,5.7,1684.03,1798.98
114,10822,"Dell Inspiron i7559-3763BLK 15.6 Inch FHD Laptop (6th Generation Intel Core i7, 16GB RAM, 1 TB HDD) NVIDIA GeForce GTX 960M",Dell,Dell Inspiron i7559-3763BLK,15.6,1920,1080,Matte,0,Intel Core i7,Intel Core i7-6700HQ 2.6 GHz (6th gen Skylake Quad-Core with Hyper-Threading),0.0,1,NVIDIA GeForce GTX 960M,Windows,Windows 10,16,0,1000,5.68,999.0,999.0
18,20514,"ASUS Gaming Laptop, 17.3â€ Full HD Wideview Display, Intel Core i7-7700HQ Processor, NVIDIA GTX 1050 Ti 4GB, 8GB DDR4 RAM, 1TB HDD, Backlit kbd, USB 3.1 Type C, Windows 10 Home, FX73VE-WH71",Asus,Asus FX73VE,17.3,1920,1080,Matte,0,Intel Core i7,Intel Core i7-7700HQ 2.8 GHz (7th gen Kaby Lake Quad-Core with Hyper-Threading),0.0,1,NVIDIA GeForce GTX 1050 Ti,Windows,Windows 10 Home,8,0,1000,6.6,1539.0,1539.0
507,22738,"ASUS VivoBook Thin and Lightweight FHD WideView Laptop, 8th Gen Intel Core i5-8250U, 8GB DDR4 RAM, 128GB SSD+1TB HDD, USB Type-C, NanoEdge, Fingerprint Reader, Windows 10 - F510UA-AH55",Asus,Asus VivoBook F510UA,15.6,1920,1080,Matte,0,Intel Core i5,Intel Core i5-8250U 1.6 GHz (8th gen Kaby Lake R Quad-Core with Hyper-Threading),0.0,0,Intel UHD 620,Windows,Windows 10 Home,8,128,1128,3.7,499.99,669.97
80,11945,"2017 Dell Inspiron 15.6?? HD LED Display Laptop PC , Intel i3-5005U 2.0GHz CPU, 6GB RAM, 1TB HDD, Intel HD Graphics 5500, Bluetooth, HDMI, MaxxAudio, DVD +/- RW, Windows 10 - Black",Dell,Dell Inspiron i3558-0954,15.6,1366,768,Glossy,0,Intel Core i3,Intel Core i3-5005U 2.0 GHz (5th gen Broadwell Dual-Core with Hyper-Threading),0.0,0,Intel HD 5500,Windows,Windows 10,6,0,1000,4.85,399.99,399.99
